stage,n,mean_ms,median_ms,min_ms,max_ms,p90_ms,p95_ms,p99_ms,iqr_ms,cv,ci95_low,ci95_high,success_rate,wilson_lo,wilson_hi,successes,total,goodput_tps
enrollment,100,916.7842684313655,878.6188676021993,738.2481740787625,1584.5103827305138,1118.3531822171062,1190.8265466801822,1227.7164926286805,102.46365889906883,0.15378193030125056,888.8128733046772,944.7556635580538,1.0,0.9630051925239981,0.9999999999999999,100,100,1.0907691530429706
heartbeat,100,5.719256405718625,5.569214932620525,4.522727336734533,14.26678616553545,6.28005126491189,6.936844764277339,8.48893943708393,0.6564235081896186,0.18197103084319663,5.5127737913316786,5.925739020105571,1.0,0.9630051925239981,0.9999999999999999,100,100,174.8479048780031
deployment,100,936.8285068124533,772.041971096769,669.2078318446875,3105.5893460288644,1330.1325537264347,1442.3488421365619,3020.5393436970194,265.83470369223505,0.45140878958711494,852.926610545968,1020.7304030789386,1.0,0.9630051925239981,0.9999999999999999,100,100,1.067431224314989
transactional,100,1853.6127752438188,1768.3596818242222,1424.3759610690176,3988.211021758616,2189.4424926955253,2485.0155136547983,3883.344805873931,283.6180850863457,0.23158277826795617,1768.446639653149,1938.7789108344884,1.0,0.9630051925239981,0.9999999999999999,100,100,
