stage,n,mean_ms,median_ms,min_ms,max_ms,p90_ms,p95_ms,p99_ms,iqr_ms,cv,ci95_low,ci95_high,success_rate,wilson_lo,wilson_hi,successes,total,goodput_tps
enrollment,100,619.6338539663702,566.8005836196244,512.8548578359187,877.0333481952548,798.6447509378195,862.3388370964676,873.4719169745222,111.3813373958692,0.16748307960073708,599.0442618466775,640.223446086063,1.0,0.9630051925239981,0.9999999999999999,100,100,1.6138563017479572
heartbeat,100,4.071461437270045,3.940792754292488,3.217000048607588,7.4623869732022285,4.699186841025949,5.2298367489129305,5.6046331021934845,0.49995502922683954,0.1415370321758102,3.9571309436896724,4.185791930850418,1.0,0.9630051925239981,0.9999999999999999,100,100,245.61205243061562
deployment,100,662.0102807786316,564.8432783782482,486.40049528330564,2727.252220734954,958.9713917579502,1076.4816997107118,1669.7066276660244,144.37606651335955,0.4270545456184498,605.9197240475437,718.1008375097194,1.0,0.9630051925239981,0.9999999999999999,100,100,1.510550559462366
transactional,100,1281.6441347450018,1184.1291922610253,1047.5393501110375,3286.076741758734,1566.1489360034468,1669.940571114421,2234.6920543443466,263.6724521871656,0.22274284158893223,1225.00548673959,1338.2827827504136,1.0,0.9630051925239981,0.9999999999999999,100,100,
